id,name,specialty,experience,symptoms,schedule,cost,content,
11,Nguyễn Văn L,Da liễu,2,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn L là bác sĩ Da liễu, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
12,Nguyễn Văn M,Tim mạch,3,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn M là bác sĩ Tim mạch, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
13,Nguyễn Văn N,Tiêu hóa,4,"đau bụng, tiêu chảy, táo bón","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn N là bác sĩ Tiêu hóa, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
14,Nguyễn Văn O,Cơ xương khớp,5,"đau lưng, đau gối, viêm khớp","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn O là bác sĩ Cơ xương khớp, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
15,Nguyễn Văn P,Phụ sản,6,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn P là bác sĩ Phụ sản, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
16,Nguyễn Văn Q,Nội khoa,7,"ho, sốt, đau họng","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn Q là bác sĩ Nội khoa, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
17,Nguyễn Văn R,Nhi khoa,8,"sốt cao, viêm phổi, đau bụng","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn R là bác sĩ Nhi khoa, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
18,Nguyễn Văn S,Tai mũi họng,9,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn S là bác sĩ Tai mũi họng, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
19,Nguyễn Văn T,Da liễu,10,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn T là bác sĩ Da liễu, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
20,Nguyễn Văn U,Tim mạch,1,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn U là bác sĩ Tim mạch, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
21,Nguyễn Văn V,Tiêu hóa,2,"đau bụng, tiêu chảy, táo bón","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn V là bác sĩ Tiêu hóa, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
22,Nguyễn Văn W,Cơ xương khớp,3,"đau lưng, đau gối, viêm khớp","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn W là bác sĩ Cơ xương khớp, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
23,Nguyễn Văn X,Phụ sản,4,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn X là bác sĩ Phụ sản, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
24,Nguyễn Văn Y,Nội khoa,5,"ho, sốt, đau họng","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn Y là bác sĩ Nội khoa, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
25,Nguyễn Văn Z,Nhi khoa,6,"sốt cao, viêm phổi, đau bụng","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn Z là bác sĩ Nhi khoa, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
26,Nguyễn Văn A,Tai mũi họng,7,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn A là bác sĩ Tai mũi họng, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
27,Nguyễn Văn B,Da liễu,8,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn B là bác sĩ Da liễu, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
28,Nguyễn Văn C,Tim mạch,9,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn C là bác sĩ Tim mạch, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
29,Nguyễn Văn D,Tiêu hóa,10,"đau bụng, tiêu chảy, táo bón","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn D là bác sĩ Tiêu hóa, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
30,Nguyễn Văn E,Cơ xương khớp,1,"đau lưng, đau gối, viêm khớp","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn E là bác sĩ Cơ xương khớp, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
31,Nguyễn Văn F,Phụ sản,2,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn F là bác sĩ Phụ sản, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
32,Nguyễn Văn G,Nội khoa,3,"ho, sốt, đau họng","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn G là bác sĩ Nội khoa, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
33,Nguyễn Văn H,Nhi khoa,4,"sốt cao, viêm phổi, đau bụng","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn H là bác sĩ Nhi khoa, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
34,Nguyễn Văn I,Tai mũi họng,5,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn I là bác sĩ Tai mũi họng, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
35,Nguyễn Văn J,Da liễu,6,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn J là bác sĩ Da liễu, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
36,Nguyễn Văn K,Tim mạch,7,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn K là bác sĩ Tim mạch, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
37,Nguyễn Văn L,Tiêu hóa,8,"đau bụng, tiêu chảy, táo bón","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn L là bác sĩ Tiêu hóa, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
38,Nguyễn Văn M,Cơ xương khớp,9,"đau lưng, đau gối, viêm khớp","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn M là bác sĩ Cơ xương khớp, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
39,Nguyễn Văn N,Phụ sản,10,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn N là bác sĩ Phụ sản, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
40,Nguyễn Văn O,Nội khoa,1,"ho, sốt, đau họng","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn O là bác sĩ Nội khoa, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
41,Nguyễn Văn P,Nhi khoa,2,"sốt cao, viêm phổi, đau bụng","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn P là bác sĩ Nhi khoa, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
42,Nguyễn Văn Q,Tai mũi họng,3,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn Q là bác sĩ Tai mũi họng, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
43,Nguyễn Văn R,Da liễu,4,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn R là bác sĩ Da liễu, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
44,Nguyễn Văn S,Tim mạch,5,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn S là bác sĩ Tim mạch, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
45,Nguyễn Văn T,Tiêu hóa,6,"đau bụng, tiêu chảy, táo bón","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn T là bác sĩ Tiêu hóa, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
46,Nguyễn Văn U,Cơ xương khớp,7,"đau lưng, đau gối, viêm khớp","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn U là bác sĩ Cơ xương khớp, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
47,Nguyễn Văn V,Phụ sản,8,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn V là bác sĩ Phụ sản, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
48,Nguyễn Văn W,Nội khoa,9,"ho, sốt, đau họng","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn W là bác sĩ Nội khoa, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
49,Nguyễn Văn X,Nhi khoa,10,"sốt cao, viêm phổi, đau bụng","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn X là bác sĩ Nhi khoa, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
50,Nguyễn Văn Y,Tai mũi họng,1,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn Y là bác sĩ Tai mũi họng, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
51,Nguyễn Văn Z,Da liễu,2,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn Z là bác sĩ Da liễu, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
52,Nguyễn Văn A,Tim mạch,3,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn A là bác sĩ Tim mạch, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
53,Nguyễn Văn B,Tiêu hóa,4,"đau bụng, tiêu chảy, táo bón","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn B là bác sĩ Tiêu hóa, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
54,Nguyễn Văn C,Cơ xương khớp,5,"đau lưng, đau gối, viêm khớp","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn C là bác sĩ Cơ xương khớp, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
55,Nguyễn Văn D,Phụ sản,6,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn D là bác sĩ Phụ sản, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
56,Nguyễn Văn E,Nội khoa,7,"ho, sốt, đau họng","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn E là bác sĩ Nội khoa, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
57,Nguyễn Văn F,Nhi khoa,8,"sốt cao, viêm phổi, đau bụng","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn F là bác sĩ Nhi khoa, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
58,Nguyễn Văn G,Tai mũi họng,9,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn G là bác sĩ Tai mũi họng, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
59,Nguyễn Văn H,Da liễu,10,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn H là bác sĩ Da liễu, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
60,Nguyễn Văn I,Tim mạch,1,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn I là bác sĩ Tim mạch, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
61,Nguyễn Văn J,Tiêu hóa,2,"đau bụng, tiêu chảy, táo bón","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn J là bác sĩ Tiêu hóa, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
62,Nguyễn Văn K,Cơ xương khớp,3,"đau lưng, đau gối, viêm khớp","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn K là bác sĩ Cơ xương khớp, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
63,Nguyễn Văn L,Phụ sản,4,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn L là bác sĩ Phụ sản, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
64,Nguyễn Văn M,Nội khoa,5,"ho, sốt, đau họng","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn M là bác sĩ Nội khoa, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
